Location,Latitude,Longitude
california st from mason to kearny,0.0,0.0
war memorial opera house (401 van ness avenue),37.7785999,-122.4208
first bank (550 montgomery street at commercial),37.7935837,-122.4026419
market at mason,37.7832203,-122.4090909
albert s. samuels clock (856 market street between powell and stockton),0.0,0.0
198 gough street,37.7748761,-122.4223777
bayshore blvd near cesar chavez (bayview),0.0,0.0
duboce between buena vista east and alpine st,37.7686955,-122.443738
dante building (1606 stockton street at union),0.0,0.0
900 lombard street,37.8025519,-122.4165769
"mudpie, 2185 fillmore street",37.7895789,-122.4342146
"san francisco general hospital medical center (1001 potrero avenue, potrero hill)",37.755535,-122.4049855
"the music concourse (martin luther king, jr. drive, golden gate park)",37.7688958,-122.4672329
buena vista park,37.7684046,-122.4414145
"sutter stockton garage, 444 stockton",37.7900691,-122.4064769
broadway studios (435 broadway at montgomery street),37.7980293,-122.4044496
edinburgh castle (950 geary street),37.7860992,-122.4189659
"cathedral hill hotel (1101 van ness avenue, civic center)",37.786072,-122.421706
grant between bush and broadway,0.0,0.0
350 union street,37.8010954,-122.4052792
waverly pl between washington and sacramento,0.0,0.0
castagnola's restaurant (fisherman's wharf),37.8081971,-122.417549
mel's drive-in (corner south van ness & mission st.),37.7841099,-122.4045148
muddy waters coffee house,36.300479,-76.224003
bush and sansome st.,37.7911874,-122.4007825
united nations plaza,40.749548,-73.96925879999999
lincoln park,41.9214378,-87.65130429999999
castro st. between 21st an hill st,0.0,0.0
601 buena vista ave west at java st.,37.7669436,-122.4437247
jones & pacific,37.7958902,-122.4150305
presidio (golden gate national recreation area),37.7988737,-122.4661937
randall museum,37.7645294,-122.4381999
california & larkin streets (nob hill),37.790797,-122.4190635
22nd bet. carolina & rhode island streets (potrero hill),0.0,0.0
flood building (870 market street),37.7850231,-122.4070834
california at grant,38.6295178,-121.3212545
leavenworth at green,37.7985017,-122.4172437
koshland park,37.77327760000001,-122.4267285
california & hyde streets,37.7937507,-122.4179707
montgomery between pacific and broadway,0.0,0.0
700 kansas st.,37.76075540000001,-122.4034896
1101 filbert st.,37.8002042,-122.4178308
mason & california streets (nob hill),37.7918421,-122.4108428
745 treat ave,37.7582061,-122.4130234
tonga room,37.7921357,-122.4099773
glide memorial church (434 ellis st),37.785154,-122.4114072
turk street between mason & leavenworth,0.0,0.0
1059 texas street,29.7597531,-95.3615787
california between mason and taylor st,37.784453,-122.410655
"benu restaurant, 22 hawthorne street",37.78545200000001,-122.399036
"asian art museum (200 larkin street, civic center)",37.7801637,-122.4161985
grant st. at bush st.,37.7905703,-122.4055726
2898 vallejo street,37.7942353,-122.4448558
fisherman's wharf,37.8079996,-122.4177434
alta plaza park (steiner street),37.7911417,-122.4376241
"bank of america building (555 california street, financial district)",37.792062,-122.4037148
ritz-carlton hotel (600 stockton street),37.7917856,-122.40716
"the castro theater, 429 castro st.",37.7620333,-122.4347591
twin peaks blvd.,37.7534184,-122.4481761
howard st between 3rd and 4th st.,0.0,0.0
leavenworth at union,37.7994171,-122.4174331
24th between portrero & alabama,0.0,0.0
grand view ave.,37.7533086,-122.4419451
gough & eddy streets (western addition),37.7824854,-122.4241254
gibb street (chinatown),37.7960309,-122.4044419
"on board the ss president cleveland, docked at pier 50",0.0,0.0
555 california,36.4400055,-97.87220599999999
2898 broadway,40.8058339,-73.9650451
castro st. between 17th and 18th st.,37.7609603,-122.435291
"betelnut restaurant, 2030 union st.",37.7976263,-122.4327432
15-17 fresno street,37.7985508,-122.4059264
"101 henry adams place, 4th floor",37.7681227,-122.4033689
766 vallejo street at stockton street (north beach),37.7987322,-122.4099186
the ramp restaurant,43.3662141,-70.4315428
"mark hopkins intercontinental hotel (1 nob hill circle, nob hill)",37.79150509999999,-122.4104582
harrison,33.9670868,-84.68309310000001
s. van ness,37.7621605,-122.4172224
